"","Speaker","Intercept","sequence"
"1","K001M",0.189932602837219,"oa"
"2","K002M",0.288131850504695,"oa"
"3","K003M",0.219556581352754,"oa"
"4","K004M",0.198818621965068,"oa"
"5","K005M",0.0159369864109849,"oa"
"6","K006M",-0.289756509836308,"oa"
"7","K007M",-0.097456312786567,"oa"
"8","K008M",-0.206965666926221,"oa"
"9","K009M",-0.464393964436729,"oa"
"10","K010M",0.146195810915094,"oa"
"11","L1H01M",0.228602217696515,"oa"
"12","L1H02M",0.144426691553195,"oa"
"13","L1H03M",0.227064558348838,"oa"
"14","L1H04M",0.115194530161656,"oa"
"15","L1H05M",-0.172563261805338,"oa"
"16","L1H06M",-0.542724735954866,"oa"
"17","L1Y01M",0.189645942556268,"oa"
"18","L1Y02M",0.052473072238545,"oa"
"19","L1Y03M",0.167331824361331,"oa"
"20","L1Y04M",-0.086211448267225,"oa"
"21","L1Y05M",-0.323239390888919,"oa"
"22","L2H01M",0.171986359083761,"oa"
"23","L2H02M",0.160671212519447,"oa"
"24","L2H03M",-0.194661595879303,"oa"
"25","L2H04M",-0.103393855873306,"oa"
"26","L2H05M",-0.0346021198506001,"oa"
"27","L2Y01M",0.0546136073210097,"oa"
"28","L2Y02M",0.142754030385079,"oa"
"29","L2Y03M",0.25841257546646,"oa"
"30","L2Y04M",-0.526479056480188,"oa"
"31","L2Y05M",0.0706988433076409,"oa"
"32","MU01M",0.340932132554108,"oa"
"33","MU02M",0.118227368170699,"oa"
"34","MU03M",-0.12051684239034,"oa"
"35","MU04M",0.0802535265335931,"oa"
"36","MU05M",0.00224651822323758,"oa"
"37","MU06M",0.1300465993256,"oa"
"38","MU07M",-0.42327489784144,"oa"
"39","MU08M",0.0784104765688677,"oa"
"40","MU09M",-0.177734912811164,"oa"
"41","MU10M",0.100198772268348,"oa"
"42","MU11M",-0.128788740601497,"oa"
"43","R001M",-0.0213257134830387,"oa"
"44","R002M",-0.150346585051884,"oa"
"45","R003M",-0.188605853487422,"oa"
"46","R004M",0.437488436625918,"oa"
"47","R005M",-0.0442345069619574,"oa"
"48","R006M",-0.103788315334377,"oa"
"49","R007M",-0.0959989594395562,"oa"
"50","R008M",-0.673125588023851,"oa"
"51","R009M",-0.234936190435948,"oa"
"52","R010M",-0.0774106338830571,"oa"
"53","R011M",0.554204040893703,"oa"
"54","R012M",0.598079868581449,"oa"
"55","WU01M",0.129381881906819,"oa"
"56","WU02M",-0.0586888826723799,"oa"
"57","WU03M",0.198695272257969,"oa"
"58","WU04M",-0.0413972629714539,"oa"
"59","WU06M",-0.387492321510941,"oa"
"60","WU07M",0.404722144398786,"oa"
"61","WU08M",-0.245220831408795,"oa"
