"","Speaker","Intercept","sequence"
"1","K001M",-0.0874241358870737,"ua"
"2","K002M",0.466389769734469,"ua"
"3","K003M",0.140616886583017,"ua"
"4","K004M",0.263011952660791,"ua"
"5","K005M",0.120551663387791,"ua"
"6","K006M",-0.238448030874301,"ua"
"7","K007M",0.176974080457462,"ua"
"8","K008M",-0.412251642893427,"ua"
"9","K009M",-0.372548995833086,"ua"
"10","K010M",-0.0568715473355885,"ua"
"11","L1H01M",0.065627279661901,"ua"
"12","L1H02M",0.0343050839472127,"ua"
"13","L1H03M",-0.0507128221248142,"ua"
"14","L1H04M",-0.266381707532929,"ua"
"15","L1H05M",-0.0364138004416285,"ua"
"16","L1H06M",0.253575966490285,"ua"
"17","L1Y01M",-0.0217591147811802,"ua"
"18","L1Y02M",0.123947049489084,"ua"
"19","L1Y03M",0.13941131402887,"ua"
"20","L1Y04M",-0.0501230676520949,"ua"
"21","L1Y05M",-0.191476181084661,"ua"
"22","L2H01M",0.0957694890242173,"ua"
"23","L2H02M",0.0925478644981104,"ua"
"24","L2H03M",-0.059277462110013,"ua"
"25","L2H04M",-0.270294739132145,"ua"
"26","L2H05M",0.14125484771983,"ua"
"27","L2Y01M",0.0713233343099466,"ua"
"28","L2Y02M",0.121751667591258,"ua"
"29","L2Y03M",0.297763664654955,"ua"
"30","L2Y04M",-0.446430705236679,"ua"
"31","L2Y05M",-0.0444079613194632,"ua"
"32","MU01M",0.333487564638495,"ua"
"33","MU02M",-0.151985285351685,"ua"
"34","MU03M",-0.148822028675129,"ua"
"35","MU04M",0.210109778284956,"ua"
"36","MU05M",-0.169187784811093,"ua"
"37","MU06M",-0.171270528880235,"ua"
"38","MU07M",0.263906975849594,"ua"
"39","MU08M",0.025954955955923,"ua"
"40","MU09M",0.272547926405875,"ua"
"41","MU10M",-0.307387813144807,"ua"
"42","MU11M",-0.157353760271893,"ua"
"43","R001M",-0.159620479212148,"ua"
"44","R002M",0.0429517940881395,"ua"
"45","R003M",-0.108332897171785,"ua"
"46","R004M",-0.167449497171771,"ua"
"47","R005M",-0.101855856285206,"ua"
"48","R006M",-0.41089071540143,"ua"
"49","R007M",0.0405842449557486,"ua"
"50","R008M",-0.504222776316829,"ua"
"51","R009M",0.222651911949412,"ua"
"52","R010M",0.396444545854432,"ua"
"53","R011M",0.312224692555235,"ua"
"54","R012M",0.43751503215628,"ua"
"55","WU01M",0.0127422996438911,"ua"
"56","WU02M",-0.18434177956431,"ua"
"57","WU03M",-0.0126212988883544,"ua"
"58","WU04M",0.134811983097589,"ua"
"59","WU06M",-0.453641354297423,"ua"
"60","WU07M",0.279128980207319,"ua"
"61","WU08M",0.223921169801319,"ua"
